COMMODITYNAME	MONTH	STRIKE	PC	DELTA	OPEN	HIGH	LOW	CLOSE	PRICE	CHANGE	TOTALVOLUME	BLOCKVOLUME	EOO	SPREADVOLUME
ESX	May15	6100	C	0.9984					931.0	146.5	21	0	0	21
ESX	May15	6200	C	0.9973					831.0	146.0	3	0	0	3
ESX	May15	6650	C	0.9832					382.0	131.0	4	0	0	4
ESX	May15	6700	C	0.9759	313.0	313.0	313.0	313.0	332.5	124.5	7	0	0	2
ESX	May15	6850	C	0.9073					187.0	89.5	1500	1500	0	1500
ESX	May15	6900	C	0.8492	120.0	124.0	106.0	124.0	141.0	71.5	1369	1350	0	1351
ESX	May15	6925	C	0.8075	109.5	109.5	86.0	86.0	119.5	62.5	114	0	0	0
ESX	May15	6950	C	0.7550	92.5	102.0	69.0	93.5	98.5	52.5	3190	3000	0	3015
ESX	May15	6975	C	0.6906	76.5	76.5	54.5	72.5	79.0	42.5	164	0	0	1
ESX	May15	7000	C	0.6136	61.0	69.0	41.0	61.0	61.0	32.5	4007	2700	0	3347
ESX	May15	7025	C	0.5255	49.0	55.0	30.0	45.5	45.5	24.0	954	0	0	395
ESX	May15	7050	C	0.4291	39.0	42.0	21.5	31.5	32.0	16.0	3139	1500	0	1758
ESX	May15	7075	C	0.3316	29.0	29.0	14.0	21.0	21.5	10.0	397	0	0	10
ESX	May15	7100	C	0.2398	21.5	21.5	9.0	13.0	13.5	5.0	3891	2850	0	3406
ESX	May15	7125	C	0.1646	13.5	14.0	6.0	7.5	8.0	2.0	572	0	0	66
ESX	May15	7150	C	0.1089	8.5	8.5	3.5	4.5	5.0	1.0	2357	1000	0	1545
ESX	May15	7175	C	0.0703	4.0	4.5	2.0	3.0	3.0	0.0	138	0	0	5
ESX	May15	7200	C	0.0448	3.5	3.5	2.0	2.5	2.0	0.0	1625	1000	0	1000
ESX	May15	7250	C	0.0184	1.5	1.5	1.5	1.5	0.5	-0.5	70	0	0	0
ESX	May15	7300	C	0.0074	0.5	0.5	0.5	0.5	0.5	0.0	100	0	0	0
ESX	May15	7400	C	0.0012					0.0	0.0	1500	1500	0	0
ESX	May15	8400	C	0	0.5	0.5	0.5	0.5	0.0	0.0	2	0	0	0
ESX	Jun15	6200	C	0.9703					817.5	132.5	1	0	0	1
ESX	Jun15	6300	C	0.9589					719.5	129.0	1	0	0	1
ESX	Jun15	6600	C	0.8809	423.0	423.0	423.0	423.0	434.0	109.0	5	0	0	0
ESX	Jun15	6700	C	0.8296	342.5	342.5	342.5	342.5	344.0	97.5	9	0	0	4
ESX	Jun15	6750	C	0.7957					301.0	90.5	2	0	0	2
ESX	Jun15	6800	C	0.7562	260.5	260.5	260.5	260.5	259.0	83.0	2009	2000	0	2000
ESX	Jun15	6850	C	0.7085	206.0	206.0	206.0	206.0	220.0	75.5	12	0	0	0
ESX	Jun15	6875	C	0.6825	200.0	200.0	200.0	200.0	201.0	71.0	5	0	0	0
ESX	Jun15	6900	C	0.6542					183.0	67.0	1	0	0	1
ESX	Jun15	6925	C	0.6244	150.0	155.0	150.0	155.0	165.5	62.5	84	0	0	0
ESX	Jun15	6950	C	0.5925	139.0	148.0	133.0	148.0	149.5	59.0	207	0	0	80
ESX	Jun15	6975	C	0.5595	122.0	122.0	122.0	122.0	133.5	54.5	1	0	0	0
ESX	Jun15	7000	C	0.5250	118.0	122.0	107.0	110.5	118.0	49.5	1461	1000	0	1427
ESX	Jun15	7025	C	0.4890	92.0	96.5	92.0	93.5	104.0	45.0	114	0	0	0
ESX	Jun15	7050	C	0.4521	79.5	88.5	79.5	88.5	91.0	41.0	404	0	0	241
ESX	Jun15	7075	C	0.4141	70.0	79.0	70.0	77.0	78.0	36.0	445	0	0	0
ESX	Jun15	7100	C	0.3757	61.5	66.0	59.0	63.5	66.5	31.0	8514	7500	0	8049
ESX	Jun15	7125	C	0.3371	56.0	60.0	52.0	52.0	56.0	26.5	55	0	0	0
ESX	Jun15	7150	C	0.3004	44.0	48.0	40.5	46.0	47.0	23.0	234	0	0	5
ESX	Jun15	7175	C	0.2637	36.5	36.5	36.5	36.5	39.0	19.5	2	0	0	0
ESX	Jun15	7200	C	0.2284	30.0	34.5	26.0	31.0	31.5	15.5	968	0	0	514
ESX	Jun15	7250	C	0.1656	18.5	21.0	18.5	20.0	20.5	10.0	871	500	0	280
ESX	Jun15	7300	C	0.1145	12.5	14.0	12.0	13.5	12.5	5.5	949	500	0	800
ESX	Jun15	7350	C	0.0764	7.5	8.0	7.0	7.0	7.5	3.5	34	0	0	0
ESX	Jun15	7400	C	0.0499	5.5	5.5	4.5	5.5	4.5	2.0	1477	0	0	297
ESX	Jun15	7450	C	0.0332	3.0	4.5	3.0	4.5	3.0	1.5	56	0	0	0
ESX	Jun15	7500	C	0.0229	2.0	2.5	2.0	2.0	2.0	1.0	73	0	0	2
ESX	Jun15	7600	C	0.0124	1.5	1.5	1.0	1.0	1.0	0.5	109	0	0	30
ESX	Jun15	6600	C	0.8809	423.0	423.0	423.0	423.0	434.0	109.0	5	0	0	0
ESX	Jun15	6700	C	0.8296	342.5	342.5	342.5	342.5	344.0	97.5	9	0	0	4
